RU/UK,EN
донбасса.раз,donbass.raz
россии,russia
востоке украины,east of ukraine
конвой,convoy
сталине,stalin
все,everything
культ,cult
pravdaest,pravdaest
днр,dnr
донецкой,donetsk
верховной рады,supreme glad
украины,of ukraine
а.турчинов,a. turchinov
донецкой народной республики,donetsk people's republic
луганщине,lugansk region
турчинов,turchinov
председатель,the chairman
мвд,interior ministry
александр турчинов,alexander turchinov
донецкой области,donetsk region
луганской области,lugansk region
луганской областях,lugansk regions
александр малыхин,alexander malin
цик,cyc
роман лягин,lyagin novel
луганской народной республики,lugansk people's republic
большинство,most
военные,military
украине,ukraine
украинских,ukrainian
украинские,ukrainian
украинской,ukrainian
север,north
европейских,european
территории,territories
водители,drivers
колонны,columns
лаврова,lavrova
луганск,lugansk
войска,troops
харьковскую область,kharkov region
белых,whites
секции,sections
живой,alive
российских,russian
россия,russia
сми,mass media
фсб,fsb
сектор,sector
владимира владимировича,vladimir vladimirovich
национальной безопасности украины,national security of ukraine
владимира путина,vladimir putin
родину,homeland
нбу,nbu
главы,chapters
раде,glad
тысячи,thousands
гш мо рф,gsh monf
правый,right
боинга,boeing
камазовскому,kamaz
путина,putin's
границы,boundaries
путин,putin
сука,bitch
скоростью 220 000,speed of 220
азиатский,asian
ртр,rtr
киев,kiev
два,two
источник,a source
кремле,kremlin
группа,group
азию,asia
тымчук,tymchuk
залпового огня,volley fire
майдане,maidan
мценского завода (мечта тымчука,mtsensk plant (tymchuk dream
производства,production
наркологический центр киева,drug treatment center in kiev
украина,ukraine
администрации президента,presidential administration
малазийского,malaysian
волны,the waves
новости,news
власти,authorities
балбес,dunce
трус,coward
сердце,a heart
украинского,ukrainian
маршрут,route
главком,commander in chief
главкома,commander in chief
глава,chapter
москву,moscow
#aoj92c,# aoj92c
интерфакс-украина,interfax-ukraine
справочной службе аэропорта харькова,kharkiv airport information service
горловки,gorlovki
города,cities
на борту,on board
виктор янукович,victor yanukovich
виктора януковича,viktor yanukovych
президент,the president
верховной радой,supreme rada
министра внутренних дел,minister of the interior
объединенных арабских эмиратах,united arab emirates
объекты,objects
александра турчинова,alexander turchinov
государства,of the state
владимир рыбак,vladimir fisherman
николай рудьковский,nikolai rudkovsky
рады,are happy
генерального прокурора украины,prosecutor general of ukraine
проект,project
семья,family
униан,unian
батькивщины,batkivschyna
харькове,kharkov
оаэ,uae
межигорье,intermountain
арсен аваков,arsen avakov
дудка владимир,vladimir pipe
трекинговой системы flightradar24,tracking system flightradar24
дипломаты,diplomats
александр волков,alexander volkov
юрий поляченко,yury polyachenko
виктора пшонки,victor pshonka
игорю калетнику,igor kaletnik
порошенко,poroshenko
александра клименко,alexander klymenko
рф,rf
представитель,representative
ярослав сухой,yaroslav dry
виталия захарченко,vitalia zakharchenko
юрий мирошниченко,yuri miroshnichenko
юлии тимошенко евгения,yulia tymoshenko eugenia
дочь,daughter
погранслужба,border guard service
обновляется,updated
майдан,maidan
документы,documents
верховной раде,supreme rada
самолет,aircraft
киева,kiev
правительства,governments
организованный по инициативе украинского фронта,organized by the initiative of the ukrainian front
януковича,yanukovych
янукович,yanukovych
сша,usa
украинская правда,ukrainian truth
днепра,dnieper
левый,left
министерства доходов и сборов,ministries of income and fees
восточной украины,eastern ukraine
юлии тимошенко,yulia tymoshenko
партии регионов,party of regions
турчинова,turchinov
петр порошенко,peter poroshenko
гаи,traffic police
мирошниченко,miroshnichenko
тимошенко,tymoshenko
интерфакс,interfax
донецком,donetsk
охрана,security
верховная рада,the verkhovna rada
человек,person
коллеги,colleagues
депутаты,deputies
аваков,avakov
полномочия,authority
харьков,kharkov
мид украины,mid ukraine
арсена авакова,arsen avakov
виталий грушевский,vitaly hrushevsky
татьяну чорновил,tatyana chornovil
вр,time
захарченко,zakharchenko
международном аэропорту фуджейра,fujairah international airport
воды,water
источники,sources of
рыбака,fisherman
рбк-украина,rbk-ukraine
пшонки,pshonki
люди,people
руслан кошулинский,ruslan koshulinsky
виктором януковичем,viktor yanukovych
артем щербина,artem shcherbina
парламента,parliament
пр,etc
государственной службы охраны,state security service
сергей shevchenkos,sergey shevchenkos
республика,republic
донбасу,donbas
донецке,donetsk
установки  град,installation hail
сообщения,messages
подкрепление,reinforcement
танки,tanks
город,city
комплексы,complexes
славянска,slavic
действующий,acting
участок,plot
сайт,site
российской федерации,russian federation
славянску,slavic
автомобиль,car
приморской райадминистрации,coastal administration
инетрфаксу,netfax
джен псаки,jen psaki
итар-тасс,itar-tass
организаторы,the organizers
оперативники,operatives
мир,world
солдаты,the soldiers
луганской областей,lugansk regions
силы,strength
граждане,citizens
мариуполе,mariupol
мариуполя,mariupol
российское,russian
агентство интерфакс-украина,interfax-ukraine agency
верховного представителя ес по иностранным делам и политике безопасности,eu high representative for foreign affairs and security policy
украинская,ukrainian
власть,power
красноармейске,red army
донецкой народных республик,donetsk people's republic
донецкой народной республике,donetsk people's republic
издания новости донбасса,donbas news publications
издание новости донбасса,donbas news edition
здание,building
